filename;academie;nom_de_l_organisme_gestionnaire;ndegfiness_de_l_etablissement_de_formation;nom_de_l_etablissement_de_formation;sigle_de_l_etablissement_de_formation;adresse_de_l_etablissement_de_formation;commune_de_l_etablissement_de_formation;code_uai_de_l_etablissement_source_onisep_data_education_gouv_fr;nom_site_de_formation;adresse_site_de_formation;adressegeoloc;dpt_site_de_formation;cp_site_de_formation;commune_site_de_formation;libelle_formation;sigle_diplome;code_diplome;niveau;duree_formation;p2023;geo
social;Paris;ASSISTEAL FORMATION;750008377;ASSISTEAL FORMATION;ASSISTEAL;50/52 boulevard de Ménilmontant 75020 PARIS;PARIS;NC;ASSISTEAL FORMATION;50 boulevard de Ménilmontant 75020 PARIS;50 boulevard de Ménilmontant;75;75020;PARIS;Accompagnant éducatif et social;DEAES;56033207;3;1 an;36.0;48.863364, 2.387363
social;Paris;ASSOFAC;750029399;ASSOFAC;ASSOFAC;43 bis rue d'Hautpoul 75019 PARIS;PARIS;NC;ASSOFAC;43 bis rue d'Hautpoul 75019 PARIS;43 bis rue d'Hautpoul;75;75019;PARIS;Accompagnant éducatif et social;DEAES;56033207;3;1 an;75.0;48.883793, 2.387579
sanitaire;Versailles;ASSOCIATION DU CENTRE DE FORMATION DE L'ESSONNE;910003649;CENTRE DE FORMATION DE L'ESSONNE;CFE;23 rue des Ateliers - 91350 GRIGNY;GRIGNY;NC;CFE;23 rue des Ateliers - 91350 GRIGNY;23 rue des Ateliers;91;91350;GRIGNY;Accompagnant éducatif et social;DEAES;56033205;3;1 an;175.0;48.650387, 2.378179
social;Paris;ASSOCIATION POUR LA GESTION DU CENTRE DE FORMATION SAINT-HONORE;750814592;CENTRE DE FORMATION SAINT-HONORE;STHO;42-44rue de Romainville - 75019 PARIS;PARIS;0754908C;CENTRE DE FORMATION SAINT-HONORE;42-44 rue de Romainville - 75019 PARIS;42 rue de Romainville;75;75019;PARIS;Assistant familial;DEAF;-;3;2 ans;25.0;48.877399, 2.400625
social;Créteil;CERPE - CENTRE D'ETUDE ET DE RECHERCHE POUR LA PETITE ENFANCE;930811393;CENTRE D'ETUDE ET DE RECHERCHE POUR LA PETITE ENFANCE;CERPE;52 rue Charles Tillon - 93300 AUBERVILLIERS;AUBERVILLIERS;0932014J;CERPE;52 rue Charles Tillon - 93300 AUBERVILLIERS;52 rue Charles Tillon;93;93300;AUBERVILLIERS;Accompagnant éducatif et social;DEAES;56033207;4;1 an;25.0;48.917289, 2.393309
social;Versailles;CENTRE PROTESTANT DE COMMUNICATION ET DE VIE;950808931;CENTRE PEDAGOGIQUE POUR CONSTRUIRE UNE VIE ACTIVE;CPCV IDF;7 Rue du Château de la Chasse, 95390 SAINT-PRIX;SAINT PRIX;NC;CPCV ILE DE FRANCE;171 avenue de la Division Leclerc 95880 ENGHEIN LES BAINS;171 avenue de la Division Leclerc;95;95880;ENGHIEN LES BAINS;Accompagnant éducatif et social;DEAES;56033204;3;1 an;152.0;48.976708, 2.307293
sanitaire;Versailles;ASSOCIATION ECOLE PRATIQUE DE SERVICE SOCIAL;950809095;ECOLE PRATIQUE DE SERVICE SOCIAL;EPSS;139 boulevard du Montparnasse - 75006 PARIS;PARIS;0753597C;EPSS - CERGY;13 boulevard de l'Hautil - 95000 CERGY;13 boulevard de l'Hautil;95;95000;CERGY PONTOISE;Accompagnant éducatif et social;DEAES;56033205;3;1 an;50.0;49.037347, 2.086444
social;Versailles;ASSOCIATION ECOLE PRATIQUE DE SERVICE SOCIAL;950809095;ECOLE PRATIQUE DE SERVICE SOCIAL;EPSS;139 boulevard du Montparnasse - 75006 PARIS;PARIS;0753597C;EPSS - CERGY;13 boulevard de l'Hautil - 95000 CERGY;13 bd de l'Hautil;95;95000;CERGY PONTOISE;Certificat d'aptitude aux fonctions d'encadrement et de responsable d'unité d'intervention sociale;CAFERUIS;26033207;6;2 ans;40.0;49.037347, 2.086444
social;Versailles;ASSOCIATION ECOLE PRATIQUE DE SERVICE SOCIAL;950809095;ECOLE PRATIQUE DE SERVICE SOCIAL;EPSS;139 boulevard du Montparnasse - 75006 PARIS;PARIS;0753597C;EPSS - CERGY;13 bd de l'Hautil – 95000 CERGY;13 bd de l'Hautil;95;95000;CERGY PONTOISE;Educateur Jeunes Enfants;DEEJE;26033203;6;3 ans;60.0;49.037347, 2.086444
social;Versailles;ASSOCIATION ECOLE PRATIQUE DE SERVICE SOCIAL;950809095;ECOLE PRATIQUE DE SERVICE SOCIAL;EPSS;139 boulevard du Montparnasse - 75006 PARIS;PARIS;0753597C;EPSS - CERGY;13 boulevard de l'Hautil - 95000 CERGY;13 bd de l'Hautil;95;95000;CERGY PONTOISE;Moniteur éducateur;DEME;46033202;4;2 ans;75.0;49.037347, 2.086444
social;Paris;ASSOCIATION DES SURINTENDANTES D'USINES ET DE SERVICES SOCIAUX;750814527;ECOLE SUPERIEURE DE TRAVAIL SOCIAL;ETSUP;Tour Maine Montparnasse - 33 avenue du Maine - 75015 PARIS;PARIS;0753602H;Ecole Supérieure de Travail Social;Tour Maine Montparnasse - 33 avenue du Maine - 75015 PARIS;33 avenue du Maine;75;75015;PARIS;Assistant familial;DEAF;-;3;2 ans;90.0;48.842274, 2.32124
sanitaire;Paris;ASSOCIATION DES SURINTENDANTES D'USINES ET DE SERVICES SOCIAUX;750814527;ECOLE SUPERIEURE DE TRAVAIL SOCIAL;ETSUP;Tour Maine Montparnasse - 33 avenue du Maine - 75015 PARIS;PARIS;0753602H;Ecole Supérieure de Travail Social;Tour Maine Montparnasse - 33 avenue du Maine - 75015 PARIS;33 avenue du Maine;75;75015;PARIS;Certificat d'aptitude aux fonctions d'encadrement et de responsable d'unité d'intervention sociale;CAFERUIS;26033207;6;2 ans;20.0;48.842274, 2.32124
social;Versailles;GRETA DU VAL D'OISE / LYCEE POLYVALENT GUSTAVE MONOD;-;GRETA DU VAL D'OISE / LYCEE POLYVALENT GUSTAVE MONOD;GRETA DU 95;71 avenue de Ceinture 95880 ENGHIEN LES BAINS;ENGHEIN LES BAINS;0950688G;Lycée Louis JOUVET;26 rue de Saint Prix 95150 TAVERNY;26 rue de Saint Prix;95;95150;TAVERNY;Accompagnant éducatif et social;DEAES;56033207;3;1 an;26.0;49.019492, 2.208603
sanitaire;Versailles;Association IFEP;920019908;IFEP FORMATION;IFEP;53 Rue du Révérend P. C. Gilbert 92600 ASNIERES/SEINE;ASNIERES/SEINE;NC;Centre de formation en travail social IFEP;53 Rue du Révérend P. C. Gilbert 92600 ASNIERES/SEINE;53 Rue du Révérend P. C. Gilbert;92;92600;ASNIERES SUR SEINE;Moniteur éducateur;DEME;46033202;4;2 ans;15.0;48.915367, 2.28575
social;Versailles;INITIATIVES;920000080;INITIATIVES;INITIATIVES;43 Bd Maréchal Joffre - 92340 BOURG LA REINE;BOURG-LA-REINE;NC;INITIATIVES;43 Bd Maréchal Joffre - 92340 BOURG LA REINE;43 Bd Maréchal Joffre;92;92340;BOURG LA REINE;Moniteur éducateur;DEME;46033202;4;2 ans;30.0;48.782796, 2.315144
social;Créteil;FONDATION INFA;940020183;INSTITUT NATIONAL DE FORMATION ET D'APPLICATION;INFA;12 Avenue de Val de Fontenay - 94120 FONTENAY-SOUS-BOIS;FONTENAY SOUS BOIS;0941869W;INFA;12 Avenue de Val de Fontenay - 94120 FONTENAY-SOUS-BOIS;12 Avenue de Val de Fontenay;94;94120;FONTENAY-SOUS-BOIS;Accompagnant éducatif et social;DEAES;56033207;3;1 an;60.0;48.85339, 2.48769
